Content,Emotion
我问是否刷卡，前台回答，刷了，闪付，你不知道吗？我问8楼是吗，回答我6楼的语气也是让人特别不舒服。等于我来付钱，还要受你前台的气？这种毫无情商和服务意识的话，让人感觉非常不舒服，我就是银行工作人员，我还不知道有闪付这个东西？差评。,2
临近街道，有点吵。。,2
一般。有点吵…………,2
难得渡一晚还行卫生太差,2
展会期间，房价翻倍，房间比较老旧狭小,2
脏乱差，开了房地板脏的一比，没住退房了还收八十多,2
上当了。这家是最垃圾的酒店。,2
之前看了大家的评论，也就来了 但是没想到座子上还有爬虫，瞬间感觉不干净了。全程穿衣睡晚,2
价格实惠就是环境差了点,2
入住的房间设置不错，但就是外面有大型空调室外机，太吵了,2
房间比较小，隔音不好，很吵,2
坐飞机要赶早，凑合住一晚，非常讨厌内窗，很憋屈，总之不算好过得去,2
老公说很破旧，不过作为新用户，算下来108，价格还算可以吧,2
不够便利，没有啤酒卖，订的时候说5楼，住的时候只有一楼。同一家店还搞两个前台，前台接待小妹没有服务意识，跟客人说话不拿眼看客人，边办理入住手续，边闲聊负面的东西。,2
房间很吵  休息不好 服务一般,2
除了近点外，好像没啥了。,2
这种的酒店我只能说是无语，能经常住一晚真的很挑战，这样的价格其实非常的不值得，听说周边有个上海国际会展中心在开会所有附近的酒店价格都高的不靠谱，能住下来内心是非常强大的。一、空调真的是无法形容，响的您可以一个晚上不用睡，简直就想是90年代用下来的空调。二、房间非常的小，一个人马马虎虎可以转身，两个人可能睡到晚上氧气都不够三、窗子特别小，，窗子锁还是坏的。四、隔音特别差，声音都要小点，是不是旁边在说什么都听到到。总之不推荐。装修可能也是N多呢没有装过了。那个门就是那种普通的感觉就是两个板子，中间空着那种。,2
很差，只是第二天要赶飞机，想近一点，不过真的很差，不推荐。,2
酒店性价比还好。谈不上服务。设施装修的挺次的，二手空调声音大，隔音不好。房间很小。,2
不太好找，有点偏远，房间小,2
服务太差，态度极其恶劣,2
很差的服务，态度极其恶劣,2
很一般，性价比不高，去年感觉还差不多，没进步！,2
设施陈旧，基本上只是睡觉,2
这是住的最差的一次如家，价格还贵,2
去了，先办入住，然后上楼，集体5楼没电，在入住前不告知，坑爹！,2
没什么好写的，旧，破，贵,2
电话啥时候能打通，我一直打不通酒店\uD83D\uDCDE\n,2
还可以，展会期间房价太高,2
可以及时解决计算机傻傻难上加难啊，有,2
还行吧\uD83D\uDE0A。。。。还最少要十个子坑,2
离机场很近，就是有人像采集，很不习惯。,2
给的莫泰的房间，但是莫泰房间便宜几十块，打电话问退房能不能下午两点，告知网上定的不可以，再打电话就没人接，感受很不好,2
就是过个夜  没别的  还行吧,2
隔音效果极差，半夜各种说话声,2
离一号航站楼1.5公里，周边共享单车多，出行交方便,2
定的如家，到了如家满了，把我安排到了莫泰168,2
不怎么喜欢，，，，，，,2
不怎么喜欢，，，，，，，，,2
偏。打d难，塞车多。悲催,2
挑，偏僻的位置。叫D难叫。所有司机都说怎么定这地方，最塞车的一个地方。建议大家如不是去机场的话还是另觅别处。即使去机场也要考虑打D的高峰期啊，唉。还有这如家服务态度不咋的。叫前台拿个东西上来都不肯拿,2
不错不错不错就是有点贵，凌晨去一点优惠都没有,2
设备简陋，窗户正对着冷气主机，吵死了，睡觉时全身都痒，以后去哪里都不住这家连锁酒店,2
空调像拖拉机啊！ 像宿舍,2
首先，感觉离T1还是挺远的，评论说近但是步行了半个小时，正常速度。附近修路，特别特别的灰，有些路要走到机动车道很危险！第二前台服务差，就一个服务员一直忙着接电话对你这个要办入住的爱理不理，最后直接让我去隔壁莫泰168办入住？？？这就算了。第二天艺龙还发短信给我说我没有入住成功，要扣取违约金？？还要我本人打电话投诉？？房间的话就快捷酒店标准，隔音差也都正常，就是对面房间开着门抽烟，这边都闻着呛，一开窗，十几个空调外机轰轰轰的响。最差没有之一！,2
